## برنامج الرياضيات - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
| ر٤٠٠ | مشروع بحث ومقال | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ٢٠ | ٢٠ | ٦٠ | ١٠٠ | |
| ر٤١٢ | نظرية الاشكال | ر٢١٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٣٤ | تحليل انحدار | ر٢٣١ | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٣٥ | نظرية الموثوقية | ر٢٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٤٤٤ | نظم الرسم بالحاسب | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر٤٤٥ | تصميم وتحليل الخوارزميات | ر٣٤٤ | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ر٤٣٦ | سلاسل زمنية وتنبؤ | ر٢٣١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ر٤٤٦ | معالجة الصور | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٦** | **١** | | | | **١٧** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **٢** | | | | **٣٤** | | | | | **١٤٠٠** | |

---

## برنامج الفيزياء - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١١ | تفاضل وتكامل (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر١٢١ | ميكانيكا (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف١٠١ | خواص المادة والحرارة | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ف١٠٢ | كهربية ومغناطيسية وضوء | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠٢ | كيمياء عامة (٢) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع١٠١ | حقوق الإنسان ومكافحة الفساد | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٥٠٠** | |

---

## برنامج الفيزياء - المستوى الأول - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١٢ | جبر وهندسة | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر١٢٢ | ميكانيكا (٢) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف١٠٣ | دوائر كهربائية | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ف١٠٤ | ديناميكا حرارية | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك١٠١ | كيمياء عامة (١) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع١٠٢ | مقدمة في علم الحاسب | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١٢** | **--** | | | | **٣٤** | | | | | **١١٠٠** | |

---

## برنامج الفيزياء - المستوى الثاني - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف٢٠١ | عملي فيزياء (١) | -- | ١ | -- | -- | ٤ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف٢١٠ | فيزياء ذرية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢١١ | موجات واهتزازات | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢١٢ | فيزياء فلكية وجوية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢١٣ | فيزياء نووية (١) | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢١٤ | ميكانيكا كلاسيكية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر٢١٠ | معادلات تفاضلية | ر١١١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢١٥ | فيزياء المرونة | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف ح٢١١ | مقدمه في الفيزياء الحيوية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ع٢٠١ | مصطلحات علمية باللغة الإنجليزية | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | -- | ٩٠ | ١٠٠ | متطلبات جامعه |
| **المجموع** | | | **٨** | **١** | | | | **١٨** | | | | | **٩٠٠** | |

---

## برنامج الفيزياء - المستوى الثاني - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف٢٠٢ | عملي فيزياء (٢) | -- | ١ | -- | -- | ٤ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف٢٢٠ | فيزياء حديثة | ف٢١٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢٢١ | ضوء فيزيائي | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢٢٢ | اسس نظرية الكهرومغناطيسية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢٢٣ | ميكانيكا تحليلية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢٢٤ | ميكانيكا الموائع | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٢٢٥ | صوتيات وفوق صوتيات | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف٢٢٨ | تيار متردد ودوائر كهربية | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ع٢٠٢-ع٢١٠ | مواد ثقافية (اختيار مقرر واحد) | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعه |
| **المجموع** | | | **٦** | **٢** | | | | **١٦** | | | | | **٧٠٠** | |
| **مجموع الفصلين** | | | **١٤** | **٣** | | | | **٣٤** | | | | | **١٦٠٠** | |

---

## برنامج الفيزياء - المستوى الثالث - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف٣٠١ | عملي فيزياء (٣) | -- | ١ | -- | -- | ٦ | -- | ٣ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف٣١٠ | فيزياء إحصائية (١) | ف١٠٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣١١ | فيزياء الجوامد (١) | ف٢١٠ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣١٢ | فيزياء المفاعلات والنيترونات | ف٢١٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣١٤ | ميكانيكا كم (١) | ف٢٢٠ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣١٥ | فيزياء رياضيات (١) | ر٢١٠ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣٢٩ | أطياف جزيئية | ف٢١٠ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣١٦ | ضوء متقدم | ف٢٢١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ف٣١٧ | فيزياء المعادن | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |

---

## برنامج الفيزياء - المستوى الثالث - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف٣٠٢ | عملي فيزياء (٤) | -- | ١ | -- | -- | ٦ | -- | ٣ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف٣٢٠ | برمجة حاسب | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣٢١ | دوائر الكترونية | ف١٠٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣٢٣ | فيزياء نوويه (٢) | ف٢١٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣٢٤ | الكتروديناميكا (١) | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣٢٥ | فيزياء رياضيات (٢) | ف٣١٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٣٢٢ | فيزياء المواد غير المتبلورة | ف٣١١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ف٣٢٦ | مغناطيسية دقيقة | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ف٣٢٧ | فيزياء البلمرات | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ف٣٢٨ | الفيزياء غير الخطية | ف٣١٥ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |
| **مجموع الفصلين** | | | **١٤** | **٢** | | | | **٣٤** | | | | | **١٦٠٠** | |

---

## برنامج الفيزياء - المستوى الرابع - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف٤٠١ | عملي فيزياء (٥) | ف٣٠٢ | ١ | -- | -- | ٦ | -- | ٣ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف٤١٠ | الليزر وتطبيقاتها | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤١١ | أشباه الموصلات | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤١٢ | ميكانيكا كم (٢) | ف٣١٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤١٣ | فيزياء إحصائية (٢) | ف٣١٠ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤١٤ | فيزياء رياضيات (٣) | ف٣٢٥ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤٢٠ | فيزياء الجوامد (٢) | ف٣١١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤١٧ | الكترونيات رقمية | ف٣٢١ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف٤١٨ | فيزياء الطاقه الجديده والمتجدده | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |

---

## برنامج الفيزياء - المستوى الرابع - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف٤٠٠ | مشروع بحث ومقال | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ٢٠ | ٢٠ | ٦٠ | ١٠٠ | |
| ف٤٠٢ | عملي فيزياء (٦) | ف٤٠١ | ١ | -- | -- | ٦ | -- | ٣ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف٤٠٣ | فيزياء تجريبية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤١٩ | كم الكترونى | ف٣١٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤٢١ | جسيمات أولية | ف٣٢٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤٢٤ | الالكتروديناميكا (٢) | ف٣٢٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤٢٥ | فيزياء رياضيات (٤) | ف٤١٤ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف٤٢٣ | فيزياء البلازما | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف٤٢٦ | موجات وعدم الاستقرار فى البلازما | ف٢٢٤ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |
| **مجموع الفصلين** | | | **١٤** | **٢** | | | | **٣٤** | | | | | **١٦٠٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الأول - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١١ | تفاضل وتكامل (١) | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ١٠١ | خواص المادة والحرارة | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ١٠١ | كيمياء عامة (١) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ١٠٢ | كيمياء عامة (٢) | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ح١١١ | حيوان عام | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع ١٠١ | حقوق الإنسان ومكافحة الفساد | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعة |
| **المجموع** | | | **٦** | **--** | | | | **١٧** | | | | | **٥٠٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الأول - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ر١١٢ | جبر وهندسة | -- | ١ | -- | ٢ | -- | ٢ | ٣ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ١٠٢ | كهربية ومغناطيسية وضوء | -- | ١ | -- | ٢ | ٢ | ١ | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ١٣١ | أسس الكيمياء العضوية (١) | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ن ١٠٦ | فسيولوجي وميكروبيولوجي | -- | ١ | -- | ٢ | ٢ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ج ١٠٢ | البلورات والمعادن | -- | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ع ١٠٢ | مقدمة فى علم الحاسب | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | متطلبات جامعة |
| **المجموع** | | | **٦** | | | | | **١٦** | | | | | **٦٠٠** | |
| **مجموع الفصلين** | | | **١٢** | | | | | **٣٣** | | | | | **١١٠٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الثاني - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف ٢٠١ | عملى فيزياء (١) | -- | ١ | -- | -- | ٤ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف ٢١٣ | فيزياء نووية (١) | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢١٣ | التحليل الحجمي والوزني | ك ١٠٢ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ١٠ | ٦٠ | ١٠٠ | |
| ك ٢٢١ | كيمياء العناصر الممثلة | ك ١٠١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٣١ | كيمياء عضوية فيزيائية (١) | ك ١٠١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ر ٢١٠ | معادلات تفاضلية | ر ١١١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٢١١ | موجيات واهتزازات | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ف ٢١٥ | فيزياء المرونة | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | اختيار مقرر واحد |
| ع ٢٠١ | مصطلحات علمية باللغة الإنجليزية | -- | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | -- | ٩٠ | ١٠٠ | متطلبات جامعه |
| **المجموع** | | | **٧** | **١** | | | | **١٧** | | | | | **٨٠٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الثاني - الفصل الدراسي الثاني

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف ٢٠٢ | عملى فيزياء (٢) | -- | ١ | -- | -- | ٤ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف ٢١٠ | فيزياء ذرية | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٢٢٠ | فيزياء حديثة | ف ٢١٣ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٢٢١ | ضوء فيزيائي | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٣٠ | كيمياء عضوية عملية (١) | ك ١٠١ | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ك ٢٣٣ | أطياف المركبات العضوية (١) | ك ١٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ح ٢٧٨ | أسس الكيمياء الحيوية (٢) | ك ١٠١ | ١ | -- | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٢٤٢ | كيمياء الكم | -- | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ك ٢٤٣ | النظرية الحركية للغازات - قاعدة الصنف | ك ١٠٢ | -- | ١ | ٢ | -- | -- | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ع ٢٠٢ - ع ٢١٠ | مواد ثقافية (اختيار مقرر واحد) | -- | -- | ١ | ٢ | -- | -- | ٢ | -- | -- | -- | ١٠٠ | -- | متطلبات جامعه |
| **المجموع** | | | **٧** | **٢** | | | | **١٨** | | | | | **٨٠٠** | |
| **مجموع الفصلين** | | | **١٤** | **٣** | | | | **٣٥** | | | | | **١٦٠٠** | |

---

## برنامج الكيمياء والفيزياء - المستوى الثالث - الفصل الدراسي الأول

| كود المقرر | اسم المقرر | متطلبات المقرر | إجباري | اختياري | نظري | عملي تطبيقي | تمرينات تطبيقية | المعتمدة | عملي | شفهي | تطبيقي/فصلي | نظري | المجموع | ملاحظات |
|------------|------------|----------------|--------|---------|------|-------------|-----------------|----------|------|------|-------------|------|---------|---------|
| ف ٣٠١ | عملى فيزياء (٣) | -- | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ف ٣١٤ | ميكانيكا كم (١) | -- | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٢٤ | الكيمياء التناسقية وكيمياء العناصر الإنتقالية | ك ٢٢١ | ١ | -- | ٢ | ٣ | -- | ٣ | ٢٠ | ١٠ | ٢٠ | ٦٠ | ١٠٠ | |
| ك ٣٣٠ | كيمياء عضوية عملية (٢) | ك ٢٣٠ | ١ | -- | -- | ٦ | -- | ٢ | ٦٠ | -- | ٤٠ | -- | ١٠٠ | |
| ك ٣٣١ | كيمياء المركبات غير متجانسة الحلقة | ك ٢٣١ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٤١ | كيمياء كهربية (١) | ك ١٠٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ك ٣٤٣ | كيمياء حركية | ك ١٠٢ | ١ | -- | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | |
| ف ٣١١ | فيزياء الجوامد (١) | ف ٢١٠ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
| ف ٣٢٣ | فيزياء نووية (٢) | ف ٢١٣ | -- | ١ | ٢ | -- | ١ | ٢ | -- | ١٠ | ٢٠ | ٧٠ | ١٠٠ | إختيار مقرر واحد |
